Parameter,Initial value,Model estimate,Standard Error
k_e_P,0.949,0.296,0.061
k_p1,0.406,3.736,0.165
k_p2,0.564,37.181,22.573
k_ent,0.000,0.000,0.000
k_stor,0.710,0.038,0.012
k_sliv,0.380,0.110,0.019
D,10000.000,10000.000,0.000
F,1.000,1.000,0.000
k_ent_gf,0.091,1.360,0.095
k_ent_omm,0.449,0.745,0.069
k_ent_spf,0.850,0.590,0.065

Metabolite,Time,Experimental data,Used for fitting,Model prediction,MAE,MSE,PCC
D31FA16_OMM_Content_jejunum,0.0,0.000,0.000,0.000,69036.916,209.671,0.970
D31FA16_OMM_Content_jejunum,1.0,1376.866,1376.866,1029.591,,,
D31FA16_OMM_Content_jejunum,2.0,440.362,440.362,62.735,,,
D31FA16_OMM_Content_jejunum,6.0,113.782,113.782,0.000,,,
D31FA16_OMM_Content_ileum,0.0,0.000,0.000,0.000,29985.589,107.666,0.059
D31FA16_OMM_Content_ileum,1.0,136.152,136.152,107.481,,,
D31FA16_OMM_Content_ileum,2.0,346.158,346.158,6.740,,,
D31FA16_OMM_Content_ileum,6.0,62.574,62.574,0.000,,,
D31FA16_OMM_iWAT,0.0,0.000,0.000,0.000,5486.952,48.369,0.996
D31FA16_OMM_iWAT,1.0,0.000,0.000,9.888,,,
D31FA16_OMM_iWAT,2.0,10.529,10.529,52.335,,,
D31FA16_OMM_iWAT,6.0,65.118,65.118,206.900,,,
D31FA16_OMM_eWAT,0.0,0.000,0.000,0.000,13004.423,88.556,-0.302
D31FA16_OMM_eWAT,1.0,117.757,117.757,9.888,,,
D31FA16_OMM_eWAT,2.0,0.000,0.000,52.335,,,
D31FA16_OMM_eWAT,6.0,12.882,12.882,206.900,,,
D31FA16_OMM_Content_colon,0.0,0.000,0.000,0.000,17407.263,106.624,-0.483
D31FA16_OMM_Content_colon,1.0,9.193,9.193,120.355,,,
D31FA16_OMM_Content_colon,2.0,104.249,104.249,8.037,,,
D31FA16_OMM_Content_colon,6.0,219.124,219.124,0.000,,,
D31FA16_OMM_Content_cecum,0.0,0.000,,0.000,NaN,NaN,NaN
D31FA16_OMM_Content_cecum,1.0,0.000,,113.845,,,
D31FA16_OMM_Content_cecum,2.0,0.000,,7.362,,,
D31FA16_OMM_Content_cecum,6.0,0.000,,0.000,,,
D5FA16_SPF_si,0.0,0.000,,0.000,NaN,NaN,NaN
D5FA16_SPF_si,1.0,0.000,,238.304,,,
D5FA16_SPF_si,2.0,0.000,,5.657,,,
D5FA16_SPF_si,6.0,0.000,,0.000,,,
D5FA16_SPF_Duodenum,0.0,0.000,0.000,0.000,138953.280,257.978,0.989
D5FA16_SPF_Duodenum,1.0,260.925,260.925,888.680,,,
D5FA16_SPF_Duodenum,2.0,169.182,169.182,571.341,,,
D5FA16_SPF_Duodenum,6.0,56.399,56.399,54.400,,,
D5FA16_SPF_Jejunum,0.0,0.000,0.000,0.000,18398.617,114.649,0.907
D5FA16_SPF_Jejunum,1.0,549.099,549.099,709.407,,,
D5FA16_SPF_Jejunum,2.0,749.871,749.871,559.450,,,
D5FA16_SPF_Jejunum,6.0,162.268,162.268,54.400,,,
D5FA16_SPF_Ileum,0.0,0.000,0.000,0.000,2138.958,38.013,0.299
