Varied_parameter,MSE,MSE_delta_to_original,AIC,AIC_delta_to_original,BIC,BIC_delta_to_original
Original,100923.585413865,0,3796.9697100854,0,3818.42540470428,0
k_e_P,94273.4707038648,-0.0658925729078035,3780.91997413489,-16.0497359505157,3809.52756696006,-8.89783774422267
k_p1,97757.1672984884,-0.0313744116639501,3790.49966229133,-6.47004779407325,3819.1072551165,0.681850412219774
k_p2,176906.621027059,0.752876894945866,3947.08743683084,150.117726745437,3975.69502965601,157.26962495173
k_ent,82379.3649089879,-0.18374516153812,3745.31565593397,-51.6540541514355,3773.92324875914,-44.5021559451425
k_stor,101534.014128519,0.00604842477752836,3800.50719951963,3.53748943422761,3829.1147923448,10.6893876405206
k_sliv,99871.1519898897,-0.0104280225445748,3796.14777231719,-0.821937768208954,3824.75536514236,6.32996043808407
